Championship Type,First Team,Second Team,Match Time,Score
بطولة أفريقيا للأندية للكرة الطائرة - رجال,روكنزو,الأولمبي الجبلي,16:00,1 - 3
بطولة أفريقيا للأندية للكرة الطائرة - رجال,ميناء دولا الكاميروني,جرين بافالوز,18:00,- - -
بطولة أفريقيا للأندية للكرة الطائرة - رجال,الزمالك,المستقبل الرياضي بالمرسى,20:00,- - -
